Time (s);sFiltered 0;Min frequency band;Max frequency band
3.5000000000e+000;2.1772912199e+000;0.0000000000e+000;5.0000000000e-001
3.5000000000e+000;2.9447809047e+000;5.0000000000e-001;1.0000000000e+000
3.5000000000e+000;4.6540415948e+000;1.0000000000e+000;1.5000000000e+000
3.5000000000e+000;6.7726747790e+000;1.5000000000e+000;2.0000000000e+000
3.5000000000e+000;1.3221237450e+001;2.0000000000e+000;2.5000000000e+000
3.5000000000e+000;1.0564050640e+001;2.5000000000e+000;3.0000000000e+000
3.5000000000e+000;1.9479550057e+001;3.0000000000e+000;3.5000000000e+000
3.5000000000e+000;3.4907275895e+001;3.5000000000e+000;4.0000000000e+000
3.5000000000e+000;3.1176542196e+001;4.0000000000e+000;4.5000000000e+000
3.5000000000e+000;5.4473362286e+001;4.5000000000e+000;5.0000000000e+000
3.5000000000e+000;4.7461638268e+001;5.0000000000e+000;5.5000000000e+000
3.5000000000e+000;1.0165134512e+002;5.5000000000e+000;6.0000000000e+000
3.5000000000e+000;2.6812822400e+002;6.0000000000e+000;6.5000000000e+000
3.5000000000e+000;5.5700837132e+001;6.5000000000e+000;7.0000000000e+000
3.5000000000e+000;6.1265307355e+001;7.0000000000e+000;7.5000000000e+000
3.5000000000e+000;1.6349131908e+002;7.5000000000e+000;8.0000000000e+000
3.5000000000e+000;3.5633982168e+002;8.0000000000e+000;8.5000000000e+000
3.5000000000e+000;1.0544695495e+002;8.5000000000e+000;9.0000000000e+000
3.5000000000e+000;8.6665134680e+001;9.0000000000e+000;9.5000000000e+000
3.5000000000e+000;1.9037716857e+002;9.5000000000e+000;1.0000000000e+001
3.5000000000e+000;3.0969654661e+002;1.0000000000e+001;1.0500000000e+001
3.5000000000e+000;1.5092410957e+002;1.0500000000e+001;1.1000000000e+001
3.5000000000e+000;1.4402245729e+002;1.1000000000e+001;1.1500000000e+001
3.5000000000e+000;2.4598708676e+002;1.1500000000e+001;1.2000000000e+001
3.5000000000e+000;1.8273514996e+002;1.2000000000e+001;1.2500000000e+001
3.5000000000e+000;5.2781210702e+001;1.2500000000e+001;1.3000000000e+001
3.5000000000e+000;2.9759365134e+001;1.3000000000e+001;1.3500000000e+001
3.5000000000e+000;2.1254365347e+001;1.3500000000e+001;1.4000000000e+001
3.5000000000e+000;1.7088497155e+001;1.4000000000e+001;1.4500000000e+001
3.5000000000e+000;1.4632856132e+001;1.4500000000e+001;1.5000000000e+001
3.5000000000e+000;1.2968231751e+001;1.5000000000e+001;1.5500000000e+001
3.5000000000e+000;1.1713295854e+001;1.5500000000e+001;1.6000000000e+001
